population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	21743	14039	0	300	173	1681	12	0	6	0
ama_flo	18491	10531	0	287	197	1348	9	0	10	0
ama_mal	66523	49166	4	1184	723	5808	28	0	26	0
ama_ros	30606	20224	1	379	220	2270	14	0	15	0
ama_txn	20045	11198	0	302	214	1514	10	0	5	0
ama_vul	29187	19687	1	353	207	2170	16	0	13	0
ama_zel	20807	13609	1	298	171	1691	9	0	7	0
chi_flo	24035	16136	0	327	208	1775	13	0	8	0
chi_mal	21326	14140	0	277	177	1733	13	0	5	0
chi_ros	19890	12680	1	250	141	1439	13	0	5	0
chi_txn	20890	13457	0	277	173	1546	10	0	4	0
chi_vul	19291	12769	0	231	136	1413	9	0	4	0
chi_zel	80420	61697	3	1404	859	7320	32	0	28	0
flo_mal	18343	10544	0	295	209	1380	9	0	7	0
flo_ros	13470	7509	0	191	123	957	4	0	7	0
flo_txn	32381	20154	1	528	348	2345	14	0	8	0
flo_vul	12886	7523	0	165	109	944	5	0	6	0
flo_zel	23357	15709	0	318	206	1770	13	0	10	0
mal_ros	34523	23508	2	471	278	2698	18	0	15	0
mal_txn	19064	10945	0	307	211	1472	10	0	4	0
mal_vul	33143	22996	2	441	259	2566	17	0	15	0
mal_zel	20683	13666	1	272	170	1712	13	0	8	0
ros_txn	13113	7220	0	175	102	933	6	0	4	0
ros_vul	54021	39394	3	860	529	4174	25	0	17	0
ros_zel	19058	12251	0	232	141	1439	10	0	7	0
txn_vul	12792	7377	0	155	107	962	6	0	5	0
txn_zel	20288	13297	0	283	171	1567	12	0	4	0
vul_zel	18724	12598	0	212	135	1417	10	0	5	0
