population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	124824	93389	8	2571	1739	10377	60	0	46	0
ama_flo	128076	96897	8	2584	1715	10710	63	0	42	0
ama_mal	80044	58262	4	1687	1189	6250	44	0	26	0
ama_ros	115961	87204	7	2492	1692	9788	58	0	37	0
ama_txn	126522	96230	8	2569	1698	10544	62	0	47	0
ama_vul	117380	87741	7	2518	1705	9888	56	0	39	0
ama_zel	125760	93819	7	2573	1741	10367	63	0	45	0
chi_flo	117516	91580	6	2469	1620	10525	55	0	36	0
chi_mal	120225	93576	6	2519	1651	10567	55	0	39	0
chi_ros	121661	95036	5	2546	1687	10861	55	0	39	0
chi_txn	120661	94259	6	2519	1655	10754	58	0	40	0
chi_vul	122260	94947	6	2565	1692	10887	59	0	40	0
chi_zel	61131	46019	3	1392	969	4980	36	0	16	0
flo_mal	49569	36094	4	1182	842	3802	18	0	21	0
flo_ros	54442	39129	4	1286	928	4225	23	0	21	0
flo_txn	35531	26484	3	949	703	2837	13	0	20	0
flo_vul	55026	39115	4	1312	942	4238	22	0	22	0
flo_zel	44555	30929	4	1159	845	3412	14	0	18	0
mal_ros	96138	73123	4	2086	1385	8287	38	0	37	0
mal_txn	111597	85686	6	2250	1452	9513	46	0	48	0
mal_vul	97518	73635	4	2116	1404	8419	39	0	37	0
mal_zel	109978	82965	5	2285	1493	9273	43	0	44	0
ros_txn	73203	55547	6	1571	1097	5810	33	0	27	0
ros_vul	32295	23373	3	886	670	2569	14	0	14	0
ros_zel	67258	50516	6	1514	1058	5304	29	0	24	0
txn_vul	49503	34846	2	1103	828	3980	22	0	12	0
txn_zel	42007	28926	2	975	764	3375	16	0	13	0
vul_zel	58781	45231	7	1253	858	4754	26	0	23	0
