population	ig	intron	miRNA	pos_1	pos_2	pos_3	pseudogenic_exon	rRNA	tRNA	gene
ama_chi	119808	93677	6	2496	1655	10619	56	0	38	0
ama_flo	49421	36107	4	1190	854	3834	18	0	18	0
ama_mal	64138	47465	2	1373	940	5177	28	0	26	0
ama_ros	55710	42543	5	1367	979	4473	25	0	16	0
ama_txn	42250	31025	2	956	721	3428	18	0	12	0
ama_vul	48318	38142	6	1112	786	4001	20	0	15	0
ama_zel	112109	87522	3	2530	1689	10252	51	0	37	0
chi_flo	43877	30502	4	1150	843	3407	14	0	20	0
chi_mal	109335	82491	6	2280	1486	9252	43	0	47	0
chi_ros	66426	50087	5	1496	1058	5304	26	0	26	0
chi_txn	41405	28766	2	981	762	3396	18	0	13	0
chi_vul	58214	45060	7	1234	857	4758	27	0	24	0
chi_zel	52496	39434	1	1424	1001	4623	28	0	16	0
flo_mal	112318	86087	6	2262	1454	9605	47	0	45	0
flo_ros	72846	55258	6	1555	1076	5786	35	0	24	0
flo_txn	29914	22069	1	730	587	2597	14	0	9	0
flo_vul	64619	50306	7	1300	884	5227	31	0	22	0
flo_zel	109559	85422	4	2510	1654	10173	47	0	34	0
mal_ros	51793	39259	4	1275	921	4045	21	0	16	0
mal_txn	43231	31278	2	951	724	3470	18	0	13	0
mal_vul	44362	34833	5	1024	734	3605	19	0	13	0
mal_zel	112233	87465	3	2556	1690	10231	47	0	36	0
ros_txn	49182	35003	2	1083	833	4009	22	0	13	0
ros_vul	23484	18435	4	605	464	1997	11	0	11	0
ros_zel	113858	88880	4	2596	1719	10504	50	0	37	0
txn_vul	64713	50452	7	1310	886	5209	30	0	23	0
txn_zel	112628	87834	4	2545	1689	10376	48	0	40	0
vul_zel	114192	88533	4	2616	1725	10526	50	0	39	0
