"allocation" "AMhetero" "AMhomo" "prob" "allocation" "IMhetero" "IMhomo" "prob" "allocation" "SChetero" "SChomo" "prob" "allocation" "AMhetero" "SI" "prob" "allocation" "IMhetero" "SI" "prob" "allocation" "SChetero" "SI" "prob" "allocation" "migInchetero" "SI" "prob" "allocation" "migDechetero" "SI" "prob" "allocation" "AMhetero" "IMhetero" "prob" "allocation" "AMhetero" "SChetero" "prob" "allocation" "AMhetero" "migInchetero" "prob" "allocation" "AMhetero" "migDechetero" "prob" "allocation" "IMhetero" "SChetero" "prob" "allocation" "IMhetero" "migInchetero" "prob" "allocation" "IMhetero" "migDechetero" "prob" "allocation" "migInchetero" "SChetero" "prob" "allocation" "migDechetero" "SChetero" "prob" "allocation" "migDechetero" "migInchetero" "prob"
"AMhetero" "0.5563" "0.4437" "0.551376666666667" "IMhetero" "0.9934" "0.0066" "0.993238333333333" "SChetero" "0.9699" "0.0301" "0.964886666666667" "AMhetero" "0.5871" "0.4129" "0.621635000000001" "IMhetero" "0.6327" "0.3673" "0.975133333333333" "SChetero" "0.6533" "0.3467" "0.978281666666667" "migInchetero" "0.6429" "0.3571" "0.973146666666667" "migDechetero" "0.6315" "0.3685" "0.957673333333333" "IMhetero" "0.4216" "0.5784" "0.879803333333333" "SChetero" "0.3505" "0.6495" "0.917835" "migInchetero" "0.3895" "0.6105" "0.929048333333333" "migDechetero" "0.424" "0.576" "0.918555" "SChetero" "0.4838" "0.5162" "0.568835" "IMhetero" "0.5208" "0.4792" "0.464511666666666" "IMhetero" "0.5019" "0.4981" "0.522728333333333" "SChetero" "0.4625" "0.5375" "0.523753333333334" "SChetero" "0.4433" "0.5567" "0.539491666666666" "migDechetero" "0.5102" "0.4898" "0.483146666666667"
"AMhomo" "0.4886" "0.5114" "0.575591666666666" "IMhetero" "0.9953" "0.0047" "0.994611666666666" "SChetero" "0.9829" "0.0171" "0.980891666666666" "AMhetero" "0.6049" "0.3951" "0.608521666666666" "IMhetero" "0.8637" "0.1363" "0.981901666666667" "SChetero" "0.8463" "0.1537" "0.980405" "migInchetero" "0.8367" "0.1633" "0.969585" "migDechetero" "0.8381" "0.1619" "0.96027" "IMhetero" "0.2435" "0.7565" "0.919630000000001" "SChetero" "0.2404" "0.7596" "0.953523333333334" "migInchetero" "0.2628" "0.7372" "0.940698333333334" "migDechetero" "0.29" "0.71" "0.918784999999999" "IMhetero" "0.5172" "0.4828" "0.564235" "IMhetero" "0.5437" "0.4563" "0.466318333333333" "IMhetero" "0.5397" "0.4603" "0.483931666666666" "SChetero" "0.4696" "0.5304" "0.487715" "SChetero" "0.4952" "0.5048" "0.545928333333333" "migDechetero" "0.5076" "0.4924" "0.465548333333333"
"AMhomo" "0.4732" "0.5268" "0.550753333333333" "IMhetero" "0.971" "0.029" "0.959278333333333" "SChetero" "0.9121" "0.0879" "0.906655000000001" "AMhetero" "0.7318" "0.2682" "0.742045" "IMhetero" "0.7515" "0.2485" "0.777930000000001" "SChetero" "0.7388" "0.2612" "0.777538333333334" "migInchetero" "0.7379" "0.2621" "0.772625" "migDechetero" "0.7499" "0.2501" "0.803848333333334" "IMhetero" "0.4868" "0.5132" "0.660354999999999" "SChetero" "0.3963" "0.6037" "0.723850000000001" "migInchetero" "0.4286" "0.5714" "0.665648333333333" "migDechetero" "0.4505" "0.5495" "0.631923333333333" "IMhetero" "0.519" "0.481" "0.470858333333333" "migInchetero" "0.489" "0.511" "0.521168333333333" "migDechetero" "0.4961" "0.5039" "0.452905" "migInchetero" "0.527" "0.473" "0.534805" "migDechetero" "0.5203" "0.4797" "0.517288333333333" "migDechetero" "0.5092" "0.4908" "0.485783333333333"
"AMhomo" "0.488" "0.512" "0.570166666666666" "IMhetero" "0.9954" "0.0046" "0.993678333333333" "SChetero" "0.9838" "0.0162" "0.981753333333333" "AMhetero" "0.6236" "0.3764" "0.624206666666666" "IMhetero" "0.7354" "0.2646" "0.979635" "SChetero" "0.7285" "0.2715" "0.965408333333333" "migInchetero" "0.6942" "0.3058" "0.959845" "migDechetero" "0.7225" "0.2775" "0.970145" "IMhetero" "0.3625" "0.6375" "0.912151666666667" "SChetero" "0.3493" "0.6507" "0.889503333333333" "migInchetero" "0.3764" "0.6236" "0.919961666666666" "migDechetero" "0.3793" "0.6207" "0.93518" "IMhetero" "0.5511" "0.4489" "0.546531666666668" "IMhetero" "0.5333" "0.4667" "0.502106666666667" "migDechetero" "0.4655" "0.5345" "0.527246666666666" "migInchetero" "0.5187" "0.4813" "0.499685000000001" "migDechetero" "0.5503" "0.4497" "0.523626666666667" "migDechetero" "0.5366" "0.4634" "0.428556666666666"
"AMhomo" "0.4742" "0.5258" "0.556591666666666" "IMhetero" "0.9949" "0.0051" "0.995095" "SChetero" "0.9828" "0.0172" "0.982276666666666" "AMhetero" "0.6388" "0.3612" "0.639985" "IMhetero" "0.9019" "0.0981" "0.992538333333333" "SChetero" "0.894" "0.106" "0.986623333333334" "migInchetero" "0.884" "0.116" "0.988413333333333" "migDechetero" "0.8846" "0.1154" "0.985878333333333" "IMhetero" "0.1877" "0.8123" "0.941966666666667" "SChetero" "0.1828" "0.8172" "0.958445" "migInchetero" "0.2066" "0.7934" "0.94639" "migDechetero" "0.2359" "0.7641" "0.93304" "IMhetero" "0.55" "0.45" "0.559151666666667" "IMhetero" "0.5284" "0.4716" "0.500513333333333" "IMhetero" "0.5478" "0.4522" "0.529776666666667" "SChetero" "0.4935" "0.5065" "0.492660000000001" "migDechetero" "0.5141" "0.4859" "0.55074" "migInchetero" "0.4795" "0.5205" "0.507111666666666"
"AMhomo" "0.4202" "0.5798" "0.574586666666667" "IMhetero" "0.9918" "0.0082" "0.992575" "SChetero" "0.9842" "0.0158" "0.982465" "AMhetero" "0.6454" "0.3546" "0.658253333333334" "IMhetero" "0.6867" "0.3133" "0.982666666666667" "SChetero" "0.6724" "0.3276" "0.96538" "migInchetero" "0.6549" "0.3451" "0.968816666666667" "migDechetero" "0.681" "0.319" "0.970101666666666" "IMhetero" "0.4205" "0.5795" "0.930008333333333" "SChetero" "0.4125" "0.5875" "0.915726666666666" "migInchetero" "0.4197" "0.5803" "0.938625" "migDechetero" "0.4139" "0.5861" "0.955769999999999" "IMhetero" "0.5464" "0.4536" "0.535811666666667" "IMhetero" "0.5663" "0.4337" "0.525556666666666" "migDechetero" "0.4602" "0.5398" "0.499888333333333" "migInchetero" "0.5035" "0.4965" "0.511121666666667" "migDechetero" "0.5558" "0.4442" "0.53978" "migDechetero" "0.5635" "0.4365" "0.422981666666667"
"AMhetero" "0.5078" "0.4922" "0.555775000000001" "IMhetero" "0.995" "0.005" "0.994285" "SChetero" "0.9767" "0.0233" "0.973815" "AMhetero" "0.5982" "0.4018" "0.62248" "IMhetero" "0.6202" "0.3798" "0.976208333333334" "SChetero" "0.6499" "0.3501" "0.972976666666666" "migInchetero" "0.6315" "0.3685" "0.964703333333333" "migDechetero" "0.63" "0.37" "0.958553333333334" "IMhetero" "0.439" "0.561" "0.889316666666667" "SChetero" "0.3718" "0.6282" "0.919916666666667" "migInchetero" "0.4016" "0.5984" "0.931161666666667" "migDechetero" "0.4248" "0.5752" "0.927323333333333" "SChetero" "0.4884" "0.5116" "0.554836666666667" "IMhetero" "0.5166" "0.4834" "0.493946666666667" "IMhetero" "0.5029" "0.4971" "0.521735" "SChetero" "0.4818" "0.5182" "0.523813333333333" "SChetero" "0.4426" "0.5574" "0.516626666666666" "migInchetero" "0.4948" "0.5052" "0.47006"
"AMhomo" "0.4676" "0.5324" "0.539585" "IMhetero" "0.9952" "0.0048" "0.995576666666667" "SChetero" "0.9897" "0.0103" "0.988376666666666" "AMhetero" "0.6683" "0.3317" "0.674878333333334" "IMhetero" "0.5593" "0.4407" "0.988091666666667" "SChetero" "0.5615" "0.4385" "0.968848333333333" "migInchetero" "0.546" "0.454" "0.96689" "migDechetero" "0.5588" "0.4412" "0.977566666666667" "AMhetero" "0.5906" "0.4094" "0.914946666666667" "AMhetero" "0.5398" "0.4602" "0.892355" "AMhetero" "0.538" "0.462" "0.920243333333334" "AMhetero" "0.5516" "0.4484" "0.927913333333333" "SChetero" "0.4865" "0.5135" "0.555131666666667" "IMhetero" "0.5365" "0.4635" "0.498245" "migDechetero" "0.4576" "0.5424" "0.520658333333333" "SChetero" "0.4686" "0.5314" "0.494598333333334" "SChetero" "0.4818" "0.5182" "0.563681666666668" "migDechetero" "0.5696" "0.4304" "0.496819999999999"
"AMhetero" "0.5524" "0.4476" "0.549285" "IMhetero" "0.9954" "0.0046" "0.992675" "SChetero" "0.9573" "0.0427" "0.953795000000001" "AMhetero" "0.5826" "0.4174" "0.595896666666666" "IMhetero" "0.6934" "0.3066" "0.971171666666667" "SChetero" "0.7121" "0.2879" "0.964428333333333" "migInchetero" "0.7032" "0.2968" "0.958153333333333" "migDechetero" "0.6711" "0.3289" "0.958853333333333" "IMhetero" "0.3826" "0.6174" "0.882198333333333" "SChetero" "0.321" "0.679" "0.90493" "migInchetero" "0.3458" "0.6542" "0.926371666666667" "migDechetero" "0.401" "0.599" "0.920328333333333" "SChetero" "0.4922" "0.5078" "0.569561666666667" "IMhetero" "0.5385" "0.4615" "0.475206666666666" "IMhetero" "0.5179" "0.4821" "0.549635" "SChetero" "0.4846" "0.5154" "0.54369" "SChetero" "0.442" "0.558" "0.520116666666667" "migDechetero" "0.5193" "0.4807" "0.472445"
"AMhetero" "0.5115" "0.4885" "0.570188333333333" "IMhetero" "0.9939" "0.0061" "0.992475" "SChetero" "0.9862" "0.0138" "0.984581666666666" "AMhetero" "0.6016" "0.3984" "0.599089999999999" "IMhetero" "0.7963" "0.2037" "0.97242" "SChetero" "0.8041" "0.1959" "0.962141666666667" "migInchetero" "0.7663" "0.2337" "0.957448333333334" "migDechetero" "0.7728" "0.2272" "0.950828333333333" "IMhetero" "0.2818" "0.7182" "0.904453333333334" "SChetero" "0.2695" "0.7305" "0.917971666666667" "migInchetero" "0.2916" "0.7084" "0.923060000000001" "migDechetero" "0.3131" "0.6869" "0.919631666666666" "IMhetero" "0.5496" "0.4504" "0.537426666666667" "IMhetero" "0.5484" "0.4516" "0.461546666666666" "IMhetero" "0.5293" "0.4707" "0.50963" "migInchetero" "0.5016" "0.4984" "0.485301666666667" "migDechetero" "0.5337" "0.4663" "0.529445" "migDechetero" "0.5197" "0.4803" "0.477243333333334"
