N1	N2	N3	N4	N5	N6	N7	N8	T_1_2	T_3_4	T_5_6	T_7_8	T_12_34	T_56_78	T_1234_5678	m_1_2	m_2_1	m_1_3	m_3_1	m_1_4	m_4_1	m_1_5	m_5_1	m_1_6	m_6_1	m_1_7	m_7_1	m_1_8	m_8_1	m_2_3	m_3_2	m_2_4	m_4_2	m_2_5	m_5_2	m_2_6	m_6_2	m_2_7	m_7_2	m_2_8	m_8_2	m_3_4	m_4_3	m_3_5	m_5_3	m_3_6	m_6_3	m_3_7	m_7_3	m_3_8	m_8_3	m_4_5	m_5_4	m_4_6	m_6_4	m_4_7	m_7_4	m_4_8	m_8_4	m_5_6	m_6_5	m_5_7	m_7_5	m_5_8	m_8_5	m_6_7	m_7_6	m_6_8	m_8_6	m_7_8	m_8_7
10	15.4489250334	4.73181325425	10.4245746088	15.3745691971	8.2736456419	0.524410593064	19.1420179125	0.0643184275914	1.38894820404	0.911205372279	1.66848799398	13.4755607284	12.0425786569	13.6430583887	0.0	10.0	0.1	10.0	0.0	0.1	10.0	0.0	0.0	10.0	0.0	10.0	0.1	0.0	10.0	0.1	10.0	0.0	0.0	0.0	10.0	0.1	0.1	10.0	0.0	0.0	0.1	10.0	0.0	0.0	10.0	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	10.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	10.0	0.1	0.1
10	17.0761621993	7.52232351719	9.74213425505	0.356348596206	5.89070958299	8.69055172914	4.81598111254	1.96644984549	1.2154513044	0.868423724432	1.026141663	3.79649594009	9.62636408595	26.7850559528	10.0	0.0	10.0	0.1	0.1	10.0	10.0	0.1	0.1	0.1	10.0	10.0	10.0	0.0	10.0	0.0	10.0	10.0	0.1	10.0	0.0	10.0	0.1	0.0	0.0	0.0	0.0	10.0	0.1	0.1	0.0	0.0	10.0	10.0	10.0	0.1	0.1	0.0	0.1	10.0	0.1	10.0	0.1	10.0	0.0	0.1	0.0	0.1	0.1	0.0	10.0	0.1	10.0	0.1	0.0	0.0
10	11.3728333234	0.745625496022	16.6930295204	10.4132853303	15.646018411	4.75918626322	16.6172170199	0.153363476161	1.97345491777	0.20994409871	1.98657336739	3.06587260209	11.376199762	79.7396493142	0.1	0.0	0.1	0.0	10.0	0.1	0.0	0.0	0.0	10.0	0.0	0.1	0.1	10.0	0.1	0.1	10.0	0.1	10.0	10.0	10.0	0.1	10.0	0.0	0.1	0.0	0.0	10.0	10.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	10.0	10.0	10.0	10.0	0.1	10.0	0.0	0.0	10.0	0.0	0.1	0.1	10.0	0.0	0.0	10.0	0.1
10	0.863755615968	3.78088643263	13.5127287019	13.6550037781	15.1060273923	5.38307262422	4.29626053692	1.14115313426	0.379924504765	0.733337642871	1.82006143271	3.46226572994	12.8302302489	25.0997957589	10.0	0.1	10.0	0.0	0.0	10.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	10.0	0.1	0.1	0.0	10.0	0.0	0.1	0.1	10.0	0.0	0.1	10.0	0.1	0.0	0.0	0.0	10.0	0.1	10.0	0.1	0.1	10.0	0.1	0.0	0.0	0.1	10.0	0.0	10.0	0.0	10.0	0.1	0.0	0.1	0.0	0.1	10.0	0.0	0.0	10.0	10.0	0.1	0.0
10	5.19943352947	9.7170774277	19.7174173589	5.70359884609	12.1083619027	11.4357170248	15.8408133163	1.88024973524	0.117054564858	1.27862945345	0.220351613194	8.01362979366	5.19757975845	18.8048919927	10.0	0.0	0.0	0.1	10.0	0.1	0.1	10.0	0.0	0.1	10.0	0.1	0.0	10.0	10.0	0.0	0.0	0.1	0.1	10.0	0.1	10.0	0.1	10.0	10.0	0.1	10.0	0.1	0.1	0.1	10.0	10.0	0.1	10.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	10.0	10.0	0.0	10.0	0.0	0.1	10.0	0.1	10.0	0.0	10.0
10	6.38381850464	12.9911076556	4.12444513567	4.16994961738	19.6338675093	3.47836653044	3.65198710775	1.93207244742	0.126586868126	1.61665304915	1.55253158786	10.0214086448	14.1841815308	138.469866023	0.1	0.0	10.0	10.0	0.1	10.0	0.0	0.1	0.0	10.0	0.0	0.0	0.1	10.0	10.0	10.0	0.0	0.0	0.1	0.0	10.0	0.0	10.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	10.0	0.0	0.0	10.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	10.0	0.1	0.1	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	0.1	0.0	0.1
10	14.3514014455	4.11392693234	6.03256527217	7.45162984172	10.296516321	19.7991585626	3.62283843437	1.08185212503	0.622105463542	0.251374821548	1.70943887755	4.49048845963	8.21474316604	59.8672515462	0.0	0.1	10.0	0.0	0.1	10.0	0.0	10.0	0.1	0.0	0.0	0.1	0.0	10.0	0.1	0.0	0.1	0.0	0.0	0.1	10.0	0.1	10.0	0.0	0.1	0.0	10.0	10.0	0.0	0.1	10.0	0.0	0.1	0.1	10.0	10.0	10.0	10.0	0.1	0.0	0.0	10.0	0.0	10.0	10.0	10.0	0.0	0.1	0.0	0.0	10.0	0.0	0.1	0.0	0.0	10.0
10	11.7938907734	9.90489617003	18.5838188534	7.80712385251	2.91657974077	19.4255725786	1.35241174246	1.77677454636	1.44460545608	1.80727492324	0.248337308291	15.2729075264	16.2295210062	39.5608752413	10.0	10.0	0.0	0.1	10.0	10.0	0.1	10.0	0.0	0.1	0.1	10.0	0.1	0.1	10.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	10.0	0.1	0.0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.1	0.1	10.0	0.1	0.0	10.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	10.0	0.0	0.0	10.0	0.0	0.1	0.1	10.0	0.1	0.1	0.1
10	6.71112573066	15.4505232597	5.78568227977	18.1967194525	2.26031601492	4.62313919042	1.58091232782	0.174435719987	1.72377312517	0.529950075313	0.941902565229	7.98016361675	4.97818973578	33.4930350775	0.0	10.0	10.0	0.1	0.0	0.1	10.0	0.1	0.1	10.0	0.0	10.0	0.1	0.0	0.0	0.0	0.0	10.0	10.0	0.0	10.0	0.1	0.1	10.0	10.0	10.0	0.1	0.1	10.0	0.0	0.1	10.0	10.0	0.1	0.0	10.0	10.0	0.1	10.0	10.0	0.0	10.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	10.0	10.0	10.0	0.1	10.0	0.1	0.0
10	5.71897095128	1.50767285041	0.464508449256	5.25538426103	17.1672739312	4.2770702885	3.6677542407	1.17053008691	1.49945233328	1.74470265764	1.96130441202	6.84356511559	2.39425039299	51.9688267195	0.1	0.1	0.0	10.0	0.0	0.0	10.0	10.0	0.0	10.0	0.1	10.0	0.1	10.0	0.1	0.1	0.0	0.0	0.1	10.0	10.0	0.0	10.0	0.1	10.0	0.1	10.0	0.0	0.1	10.0	0.1	10.0	0.0	0.0	10.0	0.1	0.0	0.1	10.0	10.0	0.1	0.0	0.1	10.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	0.1	0.0	0.0	0.1	10.0
